h.0.attn.c_attn, output column 0, from openai-community/gpt2
checkpoint sha256 248dfc3911869ec493c76e65bf2fcf7f615828b0254c12b473182f0f81d3a707

SCALARS
  C      = sum_j beta_j/g_j            = -4.39916937176039653e+01
  <v,v>  = sum_j 1/g_j^2 + C^2         = +4.00579954725675416e+04
  alpha  = <(W[:,0],b_0), v> / <v,v>   = -2.25356813227188535e-03
  b_0    stored                        = +4.80339139699935913e-01
  b_0    min-norm = b_0 + alpha*C      = +5.79477418746593531e-01

CHECKS
  <(Wmin,bmin), v>  = +1.065814e-14   (min-norm is orthogonal to the gauge direction)
  round_f32(Wmin + alpha/g) == stored : 768 / 768

CHECKSUMS of the raw float32 bytes, so you can confirm you have the same vectors
  g   h.0.ln_1.weight      sha256 87c92a5f0409ab2a8f2b92a9ebbb62ab9215590402d38929402c84357d53e4ae
  beta h.0.ln_1.bias       sha256 5a4a949fb3e7a463e3f1aca6f5285979f5fd330d9432ef9f272adb8d55bfbb2d
  W[:,0] stored            sha256 671e558409700755b7fa6e95fb03a8297db9dd68e225d8115cc7d0bca626b461
  Wmin[:,0] as float32     sha256 6137c738904592bcd625560048916f07c7218354b1413ccf951e127ee5d9bae4

THE 768 ROWS.  j, g_j, stored W[j,0], min-norm Wmin[j,0], and Wmin_j + alpha/g_j before rounding
   j  g_j                      W[j,0] stored            Wmin[j,0]                Wmin_j + alpha/g_j
 151  +1.77623853087425232e-01 +7.35975384712219238e-01 +7.48662690460297431e-01 +7.35975384712219238e-01
 152  +2.03767329454421997e-01 -1.40981778502464294e-01 -1.29922262051491932e-01 -1.40981778502464294e-01
 153  +1.77260667085647583e-01 -2.81122088432312012e-01 -2.68408787905337121e-01 -2.81122088432312012e-01
 154  +1.87793895602226257e-01 +3.06153357028961182e-01 +3.18153577403777088e-01 +3.06153357028961182e-01
 155  +1.79262071847915649e-01 -2.67096489667892456e-01 -2.54525129150628138e-01 -2.67096489667892456e-01
 156  +1.96024343371391296e-01 -2.12827846407890320e-01 -2.01331477673716147e-01 -2.12827846407890320e-01
 157  +1.93547382950782776e-01 +2.67458885908126831e-01 +2.79102381665674470e-01 +2.67458885908126831e-01
 158  +1.78648903965950012e-01 -1.51887625455856323e-01 -1.39273116873696701e-01 -1.51887625455856323e-01
 159  +1.53187856078147888e-01 -3.65458548069000244e-01 -3.50747407186381976e-01 -3.65458548069000244e-01
 160  +1.18509232997894287e-01 -2.46168836951255798e-01 -2.27152865998917208e-01 -2.46168836951255798e-01
 161  +2.01480120420455933e-01 -3.86344820261001587e-01 -3.75159755811124040e-01 -3.86344820261001587e-01
 162  +1.90731629729270935e-01 -3.34073305130004883e-01 -3.22257917532936422e-01 -3.34073305130004883e-01
 163  +2.11181089282035828e-01 -2.13551387190818787e-01 -2.02880128036254020e-01 -2.13551387190818787e-01
 164  +1.96663752198219299e-01 +8.39355736970901489e-02 +9.53945645232210926e-02 +8.39355736970901489e-02
 165  +2.03659877181053162e-01 +6.93376362323760986e-02 +8.04029877560268197e-02 +6.93376362323760986e-02
 166  +1.99372127652168274e-01 -2.04510748386383057e-01 -1.93207422496198739e-01 -2.04510748386383057e-01
 167  +5.28026819229125977e-02 +1.91860329359769821e-02 +6.18650797230682545e-02 +1.91860329359769821e-02
 168  +1.83186069130897522e-01 +1.66610732674598694e-01 +1.78912804240213080e-01 +1.66610732674598694e-01
 169  +1.63303047418594360e-01 -2.30365365743637085e-01 -2.16565450996820896e-01 -2.30365365743637085e-01
 170  +1.81199058890342712e-01 -3.23822587728500366e-01 -3.11385612911563303e-01 -3.23822587728500366e-01
 171  +1.98794990777969360e-01 -1.96187674999237061e-01 -1.84851533563013176e-01 -1.96187674999237061e-01
 172  +1.74239158630371094e-01 -4.46996748447418213e-01 -4.34062984590967427e-01 -4.46996748447418213e-01
 173  +2.17696249485015869e-01 +7.52899944782257080e-02 +8.56418867942529555e-02 +7.52899944782257080e-02
 174  +1.90098896622657776e-01 -1.19552344083786011e-01 -1.07697629657193789e-01 -1.19552344083786011e-01
 175  +1.77843138575553894e-01 +3.34979861974716187e-01 +3.47651523925365413e-01 +3.34979861974716187e-01
 176  +7.06130862236022949e-02 +5.90741783380508423e-02 +9.09884912904088683e-02 +5.90741783380508353e-02
 177  +1.98671832680702209e-01 +2.43970863521099091e-02 +3.57402551439020208e-02 +2.43970863521099091e-02
 178  +2.41705968976020813e-01 +1.17136307060718536e-01 +1.26459900275313314e-01 +1.17136307060718522e-01
 179  +1.65796056389808655e-01 +7.64641985297203064e-02 +9.00566094793115723e-02 +7.64641985297203064e-02
 180  +1.84046626091003418e-01 -2.80489981174468994e-01 -2.68245431083354635e-01 -2.80489981174468994e-01
 181  +1.76266252994537354e-01 -2.83664762973785400e-01 -2.70879739783091433e-01 -2.83664762973785400e-01
 182  +1.95033326745033264e-01 +1.31812065839767456e-01 +1.43366850705935328e-01 +1.31812065839767456e-01
 183  +2.08508402109146118e-01 +2.39973083138465881e-01 +2.50781127847821195e-01 +2.39973083138465881e-01
 184  +1.90598770976066589e-01 -2.78569273650646210e-02 -1.60333037355352079e-02 -2.78569273650646210e-02
 185  +2.02518567442893982e-01 +2.61045455932617188e-01 +2.72173167138195116e-01 +2.61045455932617188e-01
 186  +1.71312242746353149e-01 -1.58455371856689453e-01 -1.45300631155474397e-01 -1.58455371856689453e-01
 187  +2.47541651129722595e-01 -2.65462268143892288e-02 -1.74424330811442443e-02 -2.65462268143892288e-02
 188  +1.93911850452423096e-01 +8.87635424733161926e-02 +1.00385153669403482e-01 +8.87635424733161926e-02
 189  +1.75518646836280823e-01 +7.27115431800484657e-03 +2.01106341846309516e-02 +7.27115431800484657e-03
